=== HOST=car MASK=soft ARMS=interface SLACK=0.1 ===
=== host: car  mask: soft  arm: interface  slack: 0.1 ===
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/shora/.netrc.
wandb: Currently logged in as: shoraaa (shoraaa-vnu) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run n14vusyf
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /home/shora/Research/PRISM/baselines/CaR-constraint/wandb/run-20260904_021225-n14vusyf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run 20260904_031217train_interface
wandb:  View project at https://wandb.ai/shoraaa-vnu/unified_solver
wandb:  View run at https://wandb.ai/shoraaa-vnu/unified_solver/runs/n14vusyf
{'POMO_checkpoint': '../PIP-constraint/POMO+PIP/pretrained/TSPTW/tsptw50_hard/POMO_star/epoch-10000.pt',
 'accumulation_steps': 8,
 'active_constraints': ['backhaul', 'route_limit', 'time_window'],
 'amp_training': True,
 'aspect_num': 2,
 'aux_mask': True,
 'backhaul_mask': 'soft',
 'baseline': 'group',
 'best_solution_path': None,
 'bonus_for_construction': False,
 'boundary': 0.5,
 'checkpoint': None,
 'clean_cache': False,
 'coefficient': 100,
 'consequence_hidden_dim': 16,
 'constraint_number': 4,
 'constraint_repr': 'interface',
 'couple_rows': True,
 'decoder_layer_num': 1,
 'diversity': 'kendall_tau_distance',
 'diversity_loss': True,
 'diversity_reward': False,
 'diversity_weight': 0.01,
 'dual_decoder': False,
 'dummy_improve_selected': 'random',
 'dummy_improve_steps': 0,
 'dynamic_coefficient': False,
 'embedding_dim': 128,
 'empty_cache_per_batch': True,
 'enable_eas': False,
 'encoder_layer_num': 6,
 'epochs': 10,
 'epsilon': 3.67,
 'epsilon_base': 5.0,
 'epsilon_decay_beta': 0.001,
 'eval_only': False,
 'eval_type': 'argmax',
 'extra_bonus': False,
 'extra_weight': 0.1,
 'ff_hidden_dim': 512,
 'fsb_dist_only': True,
 'fsb_reward_only': True,
 'fsb_reward_plus': False,
 'fsb_start_delay': 10000,
 'gamma': 0.1,
 'generate_PI_mask': False,
 'gpu_id': '0',
 'gumbel': False,
 'hardness': 'hard',
 'head_num': 8,
 'imitation_learning': True,
 'imitation_loss_weight': 1.0,
 'impr_encoder_start_idx': 0,
 'improve_start_when_dummy_ok': False,
 'improve_steps': 5,
 'improvement_method': 'kopt',
 'improvement_only': False,
 'infsb_dist_penalty': False,
 'init_sol_strategy': 'POMO',
 'insert_before': True,
 'is_lib': False,
 'iterations': 200,
 'iterations_impr': 20,
 'k_max': 4,
 'k_unconfident': 10,
 'lazy_pip_model': False,
 'load_optimizer': True,
 'load_which_pip': 'train_fsb_bsf',
 'log_dir': 'results/composition/train_car_soft_interface_slack0.1',
 'logit_clipping': 10,
 'lr': 0.0001,
 'max_dummy_size': 18,
 'milestones': [4501],
 'model_save_interval': 5,
 'model_type': 'SINGLE',
 'multi_processing': False,
 'multiple_gpu': False,
 'n2s_decoder': False,
 'neighborhood_search': False,
 'no_cuda': False,
 'node_repr': 'named',
 'node_repr_dim': 4,
 'non_linear': None,
 'non_linear_cons': False,
 'norm': 'instance',
 'norm_loc': 'norm_last',
 'occ_gpu': 0.0,
 'out_node_reward': True,
 'out_reward': True,
 'pairwise_merge': 'feature,attention',
 'penalty_factor': 1.0,
 'penalty_normalize': False,
 'pip_checkpoint': None,
 'pip_decoder': False,
 'pip_last_growup': 50,
 'pip_step': 1,
 'pip_update_epoch': 20,
 'pip_update_interval': 1000,
 'pomo_feasible_start': False,
 'pomo_size': 50,
 'pomo_start': False,
 'problem': 'VRPBLTW',
 'problem_size': 50,
 'probs_return': False,
 'qkv_dim': 16,
 'random_delta_t': 0,
 'reconstruct': False,
 'reconstruct_bonus_weight': 1.0,
 'reconstruct_improve_bonus': False,
 'refinement_history_path': None,
 'repeats': 1,
 'reward_gating': False,
 'rm_num': 1,
 'sample_size': 1,
 'seed': 1234,
 'select_strategy': 'quality',
 'select_top_k': 10,
 'select_top_k_val': 1,
 'seperate_obj_penalty': False,
 'simulation_stop_epoch': 100,
 'slack_normalize': True,
 'slack_weight': 0.1,
 'soft_constrained': True,
 'sop_variant': 1,
 'sqrt_embedding_dim': 11.313708498984761,
 'stochastic_probability': 0.5,
 'subgradient': False,
 'subgradient_lr': 0.1,
 'succ_attention_bias': 1.0,
 'supplement_feature_dim': 17,
 'tb_logger': False,
 'test_batch_size': 10000,
 'test_dataset': None,
 'test_episodes': 10000,
 'test_opt_path': None,
 'test_pomo_size': 1,
 'total_history': 3,
 'train_batch_size': 16,
 'train_episodes': 2560,
 'tw_normalize': True,
 'uncertainty_weight': False,
 'unified_decoder': False,
 'unified_encoder': True,
 'use_fast_attention': True,
 'use_real_PI_mask': False,
 'v_range': 6.0,
 'val_dataset': ['vrpbltw50_uniform.pkl'],
 'val_episodes': 64,
 'val_init_sol_strategy': 'POMO',
 'val_opt_path': None,
 'val_pomo_size': 1,
 'val_reconstruct_times': 1,
 'validation_batch_size': 32,
 'validation_improve_steps': 20,
 'validation_interval': 2,
 'wandb_logger': True,
 'weight_decay': 1e-06,
 'which_feature': 'both',
 'with_RNN': True,
 'with_bonus': False,
 'with_explore_stat_feature': True,
 'with_infsb_feature': True,
 'with_regular': False,
 'wo_node_penalty': False,
 'wo_tour_penalty': False,
 'world_size': 1}
>> Log Path: results/composition/train_car_soft_interface_slack0.1/20260904_031217train_interface
>> No occupation needed
>> USE_CUDA: True, CUDA_DEVICE_NUM: 0
>> Start VRPBLTW Training using SINGLE Model ...
[2026-09-04 02:12:26] utils.py(229) : >> Use unified encoder for Improvement and Construction!
[2026-09-04 02:12:27] utils.py(229) : >> Use kopt decoder for Improvement!
[2026-09-04 02:12:27] utils.py(229) : lambda_:
[2026-09-04 02:12:27] utils.py(229) : 1.0
[2026-09-04 02:12:28] utils.py(229) : Number of Parameters: 1648488
[2026-09-04 02:12:28] utils.py(229) : [copy_all_src] Warning: /home/shora/Research/PRISM/baselines/CaR-constraint/_ops.py not found. Skipping.
[2026-09-04 02:12:28] utils.py(229) : [copy_all_src] Warning: /home/shora/Research/PRISM/baselines/CaR-constraint/_classes.py not found. Skipping.
[2026-09-04 02:12:28] utils.py(229) : ================================================================================
[2026-09-04 02:12:32] utils.py(229) : Rank 0 >> Epoch 1: Train (0%)
[2026-09-04 02:12:32] utils.py(229) : [Construction] Score: 26.2572,  Loss: 532.0593,  Infeasible_rate: [100.0000%, 100.0000%], out: 86.3856, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:12:32] utils.py(229) : [Improvement] Score: 168.9443 [BSF: 167.3221],  Loss: 9.6048,  Infeasible_rate: [100.0000%, 100.0000%], out: 172.4672, out_nodes: 57, Feasible_dist: 0.0000, Entropy: 2.3673
[2026-09-04 02:12:32] utils.py(229) : Diversity Loss: 9.4232, Constructive RL loss: 532.1534, Slack loss: 0.5774 (adds 53.21)
[2026-09-04 02:12:37] utils.py(229) : Rank 0 >> Epoch 1: Train (0%)
[2026-09-04 02:12:37] utils.py(229) : [Construction] Score: 26.4195,  Loss: 499.4988,  Infeasible_rate: [100.0000%, 100.0000%], out: 83.7907, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:12:37] utils.py(229) : [Improvement] Score: 157.2722 [BSF: 156.0686],  Loss: 8.7593,  Infeasible_rate: [100.0000%, 100.0000%], out: 163.0758, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.3817
[2026-09-04 02:12:37] utils.py(229) : Diversity Loss: 9.4683, Constructive RL loss: 499.5934, Slack loss: 0.5741 (adds 49.95)
[2026-09-04 02:12:41] utils.py(229) : Rank 0 >> Epoch 1: Train (0%)
[2026-09-04 02:12:41] utils.py(229) : [Construction] Score: 26.7186,  Loss: 566.4550,  Infeasible_rate: [100.0000%, 100.0000%], out: 83.5855, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:12:41] utils.py(229) : [Improvement] Score: 157.4644 [BSF: 156.4465],  Loss: 8.8888,  Infeasible_rate: [100.0000%, 100.0000%], out: 160.4962, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4120
[2026-09-04 02:12:41] utils.py(229) : Diversity Loss: 9.4984, Constructive RL loss: 566.5499, Slack loss: 0.5850 (adds 56.65)
[2026-09-04 02:12:45] utils.py(229) : Rank 0 >> Epoch 1: Train (0%)
[2026-09-04 02:12:45] utils.py(229) : [Construction] Score: 26.7342,  Loss: 527.7731,  Infeasible_rate: [100.0000%, 100.0000%], out: 81.6031, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:12:45] utils.py(229) : [Improvement] Score: 151.7378 [BSF: 150.8154],  Loss: 9.5994,  Infeasible_rate: [100.0000%, 100.0000%], out: 154.4390, out_nodes: 55, Feasible_dist: 0.0000, Entropy: 2.4266
[2026-09-04 02:12:45] utils.py(229) : Diversity Loss: 9.5170, Constructive RL loss: 527.8682, Slack loss: 0.5816 (adds 52.78)
[2026-09-04 02:12:49] utils.py(229) : Rank 0 >> Epoch 1: Train (0%)
[2026-09-04 02:12:49] utils.py(229) : [Construction] Score: 26.5310,  Loss: 539.6599,  Infeasible_rate: [100.0000%, 100.0000%], out: 81.4837, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:12:49] utils.py(229) : [Improvement] Score: 152.7992 [BSF: 151.3320],  Loss: 10.0148,  Infeasible_rate: [100.0000%, 100.0000%], out: 156.0411, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4218
[2026-09-04 02:12:49] utils.py(229) : Diversity Loss: 9.5201, Constructive RL loss: 539.7550, Slack loss: 0.5844 (adds 53.97)
[2026-09-04 02:12:53] utils.py(229) : Rank 0 >> Epoch 1: Train (0%)
[2026-09-04 02:12:53] utils.py(229) : [Construction] Score: 26.5096,  Loss: 588.1451,  Infeasible_rate: [100.0000%, 100.0000%], out: 79.5133, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:12:53] utils.py(229) : [Improvement] Score: 149.7964 [BSF: 148.4549],  Loss: 9.9916,  Infeasible_rate: [100.0000%, 100.0000%], out: 154.8477, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4265
[2026-09-04 02:12:53] utils.py(229) : Diversity Loss: 9.5321, Constructive RL loss: 588.2403, Slack loss: 0.5845 (adds 58.81)
[2026-09-04 02:12:57] utils.py(229) : Rank 0 >> Epoch 1: Train (0%)
[2026-09-04 02:12:57] utils.py(229) : [Construction] Score: 26.5140,  Loss: 589.8677,  Infeasible_rate: [100.0000%, 100.0000%], out: 78.7230, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:12:57] utils.py(229) : [Improvement] Score: 148.7422 [BSF: 147.4116],  Loss: 9.8200,  Infeasible_rate: [100.0000%, 100.0000%], out: 153.6425, out_nodes: 55, Feasible_dist: 0.0000, Entropy: 2.4220
[2026-09-04 02:12:57] utils.py(229) : Diversity Loss: 9.5417, Constructive RL loss: 589.9632, Slack loss: 0.5839 (adds 58.99)
[2026-09-04 02:13:00] utils.py(229) : Rank 0 >> Epoch 1: Train (0%)
[2026-09-04 02:13:00] utils.py(229) : [Construction] Score: 26.5574,  Loss: 590.3481,  Infeasible_rate: [100.0000%, 100.0000%], out: 79.7013, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:13:00] utils.py(229) : [Improvement] Score: 149.1925 [BSF: 147.7595],  Loss: 9.9190,  Infeasible_rate: [100.0000%, 100.0000%], out: 154.7256, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4145
[2026-09-04 02:13:00] utils.py(229) : Diversity Loss: 9.5341, Constructive RL loss: 590.4434, Slack loss: 0.5855 (adds 59.03)
[2026-09-04 02:13:04] utils.py(229) : Rank 0 >> Epoch 1: Train (5%)
[2026-09-04 02:13:04] utils.py(229) : [Construction] Score: 26.5205,  Loss: 595.9533,  Infeasible_rate: [100.0000%, 100.0000%], out: 81.1275, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:13:04] utils.py(229) : [Improvement] Score: 150.5344 [BSF: 149.0981],  Loss: 10.2828,  Infeasible_rate: [100.0000%, 100.0000%], out: 156.8756, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4160
[2026-09-04 02:13:04] utils.py(229) : Diversity Loss: 9.5261, Constructive RL loss: 596.0485, Slack loss: 0.5892 (adds 59.60)
[2026-09-04 02:13:07] utils.py(229) : Rank 0 >> Epoch 1: Train (5%)
[2026-09-04 02:13:07] utils.py(229) : [Construction] Score: 26.4497,  Loss: 597.8827,  Infeasible_rate: [100.0000%, 100.0000%], out: 79.7791, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:13:07] utils.py(229) : [Improvement] Score: 149.3046 [BSF: 147.8772],  Loss: 10.1149,  Infeasible_rate: [100.0000%, 100.0000%], out: 155.9366, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4092
[2026-09-04 02:13:07] utils.py(229) : Diversity Loss: 9.5276, Constructive RL loss: 597.9779, Slack loss: 0.5898 (adds 59.79)
[2026-09-04 02:13:11] utils.py(229) : Rank 0 >> Epoch 1: Train (5%)
[2026-09-04 02:13:11] utils.py(229) : [Construction] Score: 26.5279,  Loss: 599.8507,  Infeasible_rate: [100.0000%, 100.0000%], out: 80.2475, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:13:11] utils.py(229) : [Improvement] Score: 149.0962 [BSF: 147.6117],  Loss: 10.0299,  Infeasible_rate: [100.0000%, 100.0000%], out: 157.2887, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4091
[2026-09-04 02:13:11] utils.py(229) : Diversity Loss: 9.5244, Constructive RL loss: 599.9458, Slack loss: 0.5911 (adds 59.99)
[2026-09-04 02:13:15] utils.py(229) : Rank 0 >> Epoch 1: Train (5%)
[2026-09-04 02:13:15] utils.py(229) : [Construction] Score: 26.4683,  Loss: 606.5914,  Infeasible_rate: [100.0000%, 100.0000%], out: 80.4945, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:13:15] utils.py(229) : [Improvement] Score: 148.2120 [BSF: 146.8440],  Loss: 10.0487,  Infeasible_rate: [100.0000%, 100.0000%], out: 156.9862, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4140
[2026-09-04 02:13:15] utils.py(229) : Diversity Loss: 9.5195, Constructive RL loss: 606.6865, Slack loss: 0.5922 (adds 60.66)
[2026-09-04 02:13:20] utils.py(229) : Rank 0 >> Epoch 1: Train (5%)
[2026-09-04 02:13:20] utils.py(229) : [Construction] Score: 26.4820,  Loss: 608.3791,  Infeasible_rate: [100.0000%, 100.0000%], out: 80.0566, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:13:20] utils.py(229) : [Improvement] Score: 147.7767 [BSF: 146.3714],  Loss: 10.1105,  Infeasible_rate: [100.0000%, 100.0000%], out: 157.5726, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4152
[2026-09-04 02:13:20] utils.py(229) : Diversity Loss: 9.5154, Constructive RL loss: 608.4741, Slack loss: 0.5928 (adds 60.84)
[2026-09-04 02:13:24] utils.py(229) : Rank 0 >> Epoch 1: Train (5%)
[2026-09-04 02:13:24] utils.py(229) : [Construction] Score: 26.4689,  Loss: 601.2154,  Infeasible_rate: [100.0000%, 100.0000%], out: 79.6988, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:13:24] utils.py(229) : [Improvement] Score: 147.3439 [BSF: 145.8205],  Loss: 10.2421,  Infeasible_rate: [100.0000%, 100.0000%], out: 156.8350, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4120
[2026-09-04 02:13:24] utils.py(229) : Diversity Loss: 9.5145, Constructive RL loss: 601.3105, Slack loss: 0.5925 (adds 60.12)
[2026-09-04 02:13:30] utils.py(229) : Rank 0 >> Epoch 1: Train (5%)
[2026-09-04 02:13:30] utils.py(229) : [Construction] Score: 26.5129,  Loss: 599.5961,  Infeasible_rate: [100.0000%, 100.0000%], out: 79.7699, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:13:30] utils.py(229) : [Improvement] Score: 147.0180 [BSF: 145.5451],  Loss: 10.5534,  Infeasible_rate: [100.0000%, 100.0000%], out: 156.2982, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4134
[2026-09-04 02:13:30] utils.py(229) : Diversity Loss: 9.5162, Constructive RL loss: 599.6912, Slack loss: 0.5925 (adds 59.96)
[2026-09-04 02:13:35] utils.py(229) : Rank 0 >> Epoch 1: Train (5%)
[2026-09-04 02:13:35] utils.py(229) : [Construction] Score: 26.5146,  Loss: 608.1213,  Infeasible_rate: [100.0000%, 100.0000%], out: 79.6611, out_nodes: 25, Feasible_dist: 0.0000
[2026-09-04 02:13:35] utils.py(229) : [Improvement] Score: 146.9804 [BSF: 145.5925],  Loss: 10.3001,  Infeasible_rate: [100.0000%, 100.0000%], out: 156.0777, out_nodes: 56, Feasible_dist: 0.0000, Entropy: 2.4140
[2026-09-04 02:13:35] utils.py(229) : Diversity Loss: 9.5187, Constructive RL loss: 608.2164, Slack loss: 0.5929 (adds 60.81)
[2026-09-04 02:13:39] utils.py(229) : Rank 0 >> Epoch 1: Train (10%)
[2026-09-04 02:13:39] utils.py(229) : [Construction] Score: 26.5235,  Loss: 611.1534,  Infeasible_rate: [100.0000%, 100.0000%], out: 79.4355, out_nodes: 25, Feasible_dist: 0.0000
