checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,CVRP,,vrpbltw50_uniform.pkl,128,13.3076,13.9483,99.944,93.75,12.8996,11.423,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,VRPB,backhaul,vrpbltw50_uniform.pkl,128,13.8528,12.3431,98.599,48.438,11.5535,10.3639,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,VRPL,route_limit,vrpbltw50_uniform.pkl,128,13.3076,14.2206,99.966,95.312,12.5744,11.1847,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,VRPTW,time_window,vrpbltw50_uniform.pkl,128,15.9284,15.2328,43.711,0.0,15.9181,15.2323,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,14.1577,13.3807,99.387,62.5,11.4891,10.1716,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,16.4379,15.7683,54.766,0.0,16.5487,15.7639,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,15.9284,15.2328,43.711,0.0,15.9181,15.2323,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_attr/20260905_193429train_attr/epoch-100.pt,attr,0.0,True,pomo_soft_attr,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,16.4379,15.7683,54.766,0.0,16.5487,15.7639,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,CVRP,,vrpbltw50_uniform.pkl,128,11.025,10.4201,12.0,0.0,10.9698,10.4096,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,VRPB,backhaul,vrpbltw50_uniform.pkl,128,9.9824,9.3939,10.442,0.0,9.9634,9.3825,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,VRPL,route_limit,vrpbltw50_uniform.pkl,128,11.1093,10.533,41.936,0.0,10.9574,10.4808,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,VRPTW,time_window,vrpbltw50_uniform.pkl,128,20.0671,18.4578,1.34,0.0,19.1582,17.6816,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,9.8625,9.3489,22.502,0.0,9.7829,9.2958,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,20.9097,19.3494,3.882,0.0,19.6185,18.2949,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,15.1655,14.7052,8.354,0.0,15.1355,14.698,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo100/train_pomo_soft_interface/20260905_193509train_interface/epoch-100.pt,interface,0.0,True,pomo_soft_interface,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,15.8376,15.2793,10.879,0.0,15.7755,15.2705,0.0,0.0
