method,representation,train_size,eval_size,zero_shot,checkpoint_selection,checkpoint_epoch,eval_selection_overlap_instances,refinement_steps,episodes,batch,node_repr,consequence_compact,checkpoint,dataset,construct_no_aug,construct_no_aug_gap_pct,construct_aug,construct_aug_gap_pct,construct_solution_infeasible_pct,construct_instance_infeasible_pct,improve_no_aug,improve_no_aug_gap_pct,improve_aug,improve_aug_gap_pct,improve_solution_infeasible_pct,improve_instance_infeasible_pct,masked_no_aug,masked_no_aug_gap_pct,masked_aug,masked_aug_gap_pct,masked_solution_infeasible_pct,masked_instance_infeasible_pct,construction_seconds,improvement_seconds,masked_seconds,evaluation_seconds,process_wall_seconds,peak_gpu_mib,source_result
published_car_kopt,attribute,50,50,False,published,,0,5,1000,128,named,N/A,pretrained/CVRPBLTW/CaR-kopt_50/checkpoint.pt,vrpbltw50_uniform.pkl,15.0113,4.9311,14.7968,2.1166,20.975,3.4,14.9743,4.5594,14.7453,1.7632,18.9,2.9,15.7351,7.8521,14.8694,2.2501,0.0,0.0,1.835098,5.512253,1.522431,9.77,20.672,1789,published_car_kopt_levels/n50_t5_bs128.csv
published_car_kopt,attribute,50,50,False,published,,0,10,1000,128,named,N/A,pretrained/CVRPBLTW/CaR-kopt_50/checkpoint.pt,vrpbltw50_uniform.pkl,15.0113,4.9311,14.7968,2.1166,20.975,3.4,14.9727,4.5245,14.7407,1.732,18.8,2.9,15.7255,7.7882,14.865,2.2199,0.0,0.0,1.841595,10.731135,1.529870,15.03,26.058,1789,published_car_kopt_levels/n50_t10_bs128.csv
published_car_kopt,attribute,50,50,False,published,,0,20,1000,128,named,N/A,pretrained/CVRPBLTW/CaR-kopt_50/checkpoint.pt,vrpbltw50_uniform.pkl,15.0113,4.9311,14.7968,2.1166,20.975,3.4,14.969,4.4913,14.7422,1.6775,18.5,2.6,15.711,7.6902,14.8473,2.1161,0.0,0.0,1.843091,20.935090,1.525987,25.21,36.289,1789,published_car_kopt/n50_bs128.csv
published_car_kopt,attribute,100,100,False,published,,0,5,1000,64,named,N/A,pretrained/CVRPBLTW/CaR-kopt_100/checkpoint.pt,vrpbltw100_uniform.pkl,24.5314,0.4753,24.4034,-2.0507,22.225,2.8,24.4983,0.2337,24.3669,-2.2497,20.913,2.7,26.3643,4.6277,24.5981,-1.6689,0.0,0.0,5.403386,16.154913,5.390190,30.02,41.088,2691,published_car_kopt_levels/n100_t5_bs64.csv
published_car_kopt,attribute,100,100,False,published,,0,10,1000,64,named,N/A,pretrained/CVRPBLTW/CaR-kopt_100/checkpoint.pt,vrpbltw100_uniform.pkl,24.5314,0.4753,24.4034,-2.0507,22.225,2.8,24.4925,0.2094,24.3589,-2.2838,20.625,2.7,26.3597,4.6083,24.5904,-1.7021,0.0,0.0,5.424074,30.820938,5.406122,44.74,55.865,2691,published_car_kopt_levels/n100_t10_bs64.csv
published_car_kopt,attribute,100,100,False,published,,0,20,1000,64,named,N/A,pretrained/CVRPBLTW/CaR-kopt_100/checkpoint.pt,vrpbltw100_uniform.pkl,24.5314,0.4753,24.4034,-2.0507,22.225,2.8,24.4904,0.2163,24.3544,-2.3022,20.613,2.7,26.3565,4.594,24.586,-1.72,0.0,0.0,5.384282,59.810022,5.370083,73.67,84.685,2691,published_car_kopt/n100_bs64.csv
published_car_rr,attribute,50,50,False,published,,0,5,1000,128,named,N/A,pretrained/CVRPBLTW/CaR-rr_50/checkpoint.pt,vrpbltw50_uniform.pkl,15.1498,4.9446,14.8422,2.2325,17.725,2.6,14.9818,3.6065,14.6877,1.0533,10.625,1.3,15.391,5.6631,14.7256,1.3247,0.0,0.0,1.842041,6.642586,1.523238,10.92,22.024,1789,published_car_rr_levels/n50_t5_bs128.csv
published_car_rr,attribute,50,50,False,published,,0,10,1000,128,named,N/A,pretrained/CVRPBLTW/CaR-rr_50/checkpoint.pt,vrpbltw50_uniform.pkl,15.1498,4.9446,14.8422,2.2325,17.725,2.6,14.9107,3.1051,14.6233,0.6128,9.612,1.3,15.3004,5.0572,14.6625,0.8936,0.0,0.0,1.823751,12.884973,1.506500,17.11,28.033,1791,published_car_rr_levels/n50_t10_bs128.csv
published_car_rr,attribute,50,50,False,published,,0,20,1000,128,named,N/A,pretrained/CVRPBLTW/CaR-rr_50/checkpoint.pt,vrpbltw50_uniform.pkl,15.1498,4.9446,14.8422,2.2325,17.725,2.6,14.868,2.6225,14.5729,0.2513,8.725,1.0,15.2328,4.6006,14.6008,0.4709,0.0,0.0,1.831199,25.466782,1.515411,29.74,40.627,1791,published_car_rr_levels/n50_t20_bs128.csv
published_car_rr,attribute,100,100,False,published,,0,5,1000,64,named,N/A,pretrained/CVRPBLTW/CaR-rr_100/checkpoint.pt,vrpbltw100_uniform.pkl,24.7488,0.5495,24.46,-1.7148,23.75,3.1,24.6886,0.0428,24.3513,-2.2965,16.05,2.1,25.9873,3.4533,24.5527,-1.8341,0.0,0.0,5.341930,16.978380,5.325982,30.74,41.903,2695,published_car_rr_levels/n100_t5_bs64.csv
