checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible,improve_no_aug,improve_aug,improve_sol_infeasible,improve_ins_infeasible
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,CVRP,,vrpbltw50_uniform.pkl,128,21.6009,17.7114,0.0,0.0,20.7931,17.1323,0.0,0.0,20.8465,17.1931,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPB,backhaul,vrpbltw50_uniform.pkl,128,22.9541,18.6197,0.293,0.0,21.9896,18.1642,0.0,0.0,22.8528,18.504,0.293,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPL,route_limit,vrpbltw50_uniform.pkl,128,14.5216,12.8784,0.488,0.0,14.1338,12.7402,0.0,0.0,14.4445,12.8566,0.488,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPTW,time_window,vrpbltw50_uniform.pkl,128,19.4733,17.965,0.0,0.0,18.6154,17.2972,0.0,0.0,19.3038,17.7737,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,13.8491,10.9642,0.586,0.0,13.2482,10.7712,0.0,0.0,13.7631,10.9226,0.586,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,20.6194,19.004,2.93,0.0,19.5711,18.1248,0.0,0.0,20.5686,18.9447,2.832,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,16.9047,16.0487,0.684,0.0,16.7309,15.9354,0.0,0.0,16.8471,15.9904,0.391,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,17.8545,16.7781,1.27,0.0,17.6145,16.6769,0.0,0.0,17.7995,16.7465,0.977,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,CVRP,,vrpbltw50_uniform.pkl,128,37.8822,32.9226,2.246,0.0,34.9189,31.1213,0.0,0.0,34.9341,31.1258,0.098,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPB,backhaul,vrpbltw50_uniform.pkl,128,33.0056,33.7982,97.559,83.594,35.5908,30.9657,0.0,0.0,32.9298,33.498,97.461,82.812
