checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible,improve_no_aug,improve_aug,improve_sol_infeasible,improve_ins_infeasible
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1/20260904_035255train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1,CVRP,,vrpbltw50_uniform.pkl,128,32.3985,28.7401,18.848,0.0,31.8945,28.0246,0.0,0.0,32.0634,28.2976,0.391,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1/20260904_035255train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1,VRPB,backhaul,vrpbltw50_uniform.pkl,128,32.143,31.4736,91.699,58.594,34.0107,29.7986,0.0,0.0,32.143,31.4647,91.504,58.594
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1/20260904_035255train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1,VRPL,route_limit,vrpbltw50_uniform.pkl,128,31.9823,28.1887,21.875,0.0,31.0611,27.2557,0.0,0.0,31.4555,27.7814,0.488,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1/20260904_035255train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1,VRPTW,time_window,vrpbltw50_uniform.pkl,128,29.7628,28.9829,40.625,4.688,30.0636,27.9552,0.0,0.0,29.7391,28.9943,39.551,3.906
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1/20260904_035255train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,32.3056,30.3792,91.992,58.594,33.3352,29.2212,0.0,0.0,32.3056,30.3792,91.797,58.594
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1/20260904_035255train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,30.3436,30.9766,93.555,68.75,31.3892,29.1245,0.0,0.0,30.3436,30.9766,93.555,68.75
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1/20260904_035255train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,29.7904,28.9927,40.918,3.906,30.0432,27.9271,0.0,0.0,29.7646,28.9463,39.941,3.906
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1/20260904_035255train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,30.6661,30.7895,93.555,67.188,31.3309,29.0762,0.0,0.0,30.6661,30.7895,93.555,67.188
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,CVRP,,vrpbltw50_uniform.pkl,128,38.0221,32.7804,1.855,0.0,34.9676,30.8063,0.0,0.0,34.9676,30.8063,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPB,backhaul,vrpbltw50_uniform.pkl,128,31.9832,34.4228,95.312,70.312,35.5078,30.7972,0.0,0.0,31.9832,34.2295,95.117,68.75
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPL,route_limit,vrpbltw50_uniform.pkl,128,38.0221,32.7804,1.855,0.0,35.1052,30.9373,0.0,0.0,35.1052,30.9373,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPTW,time_window,vrpbltw50_uniform.pkl,128,28.0021,27.8025,50.879,2.344,28.8576,26.6622,0.0,0.0,27.9002,27.7174,50.195,2.344
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,31.9832,34.4228,95.312,70.312,35.5268,30.8266,0.0,0.0,31.9832,34.3098,95.215,69.531
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,nan,32.7362,99.805,98.438,30.9723,28.8512,0.0,0.0,nan,32.7362,99.805,98.438
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,28.0021,27.8025,50.879,2.344,28.8576,26.6622,0.0,0.0,27.9002,27.7174,50.195,2.344
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,nan,32.7362,99.805,98.438,30.9723,28.8512,0.0,0.0,nan,32.7362,99.805,98.438
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1_fixed/20260904_055305train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1_fixed,CVRP,,vrpbltw50_uniform.pkl,128,33.4791,28.8741,12.5,0.0,33.0734,28.4839,0.0,0.0,33.1591,28.6677,0.195,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1_fixed/20260904_055305train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1_fixed,VRPB,backhaul,vrpbltw50_uniform.pkl,128,32.8786,31.5053,85.449,36.719,34.2297,29.7513,0.0,0.0,32.8786,31.5053,85.449,36.719
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1_fixed/20260904_055305train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1_fixed,VRPL,route_limit,vrpbltw50_uniform.pkl,128,32.8346,28.6491,14.258,0.0,32.1864,27.8787,0.0,0.0,32.4195,28.2721,0.195,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1_fixed/20260904_055305train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1_fixed,VRPTW,time_window,vrpbltw50_uniform.pkl,128,29.9773,28.8816,38.672,3.125,29.9615,28.0535,0.0,0.0,29.948,28.9052,38.184,2.344
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1_fixed/20260904_055305train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1_fixed,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,32.6969,31.4221,85.84,37.5,33.5175,29.3215,0.0,0.0,32.6969,31.2741,85.742,37.5
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1_fixed/20260904_055305train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1_fixed,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,30.6482,30.5083,93.457,63.281,31.657,29.3584,0.0,0.0,30.6482,30.5083,93.457,63.281
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_slack0.1_fixed/20260904_055305train_interface/epoch-10.pt,interface,0.1,True,car_soft_interface_slack0.1_fixed,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,29.8946,28.7882,39.648,3.906,29.8954,28.0058,0.0,0.0,29.8292,28.8198,39.062,3.125
