checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible,improve_no_aug,improve_aug,improve_sol_infeasible,improve_ins_infeasible
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,CVRP,,vrpbltw50_uniform.pkl,128,21.2879,16.9799,0.0,0.0,20.5985,16.5344,0.0,0.0,20.6786,16.5491,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPB,backhaul,vrpbltw50_uniform.pkl,128,22.9541,18.6197,0.293,0.0,21.9896,18.1642,0.0,0.0,22.8528,18.504,0.293,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPL,route_limit,vrpbltw50_uniform.pkl,128,13.6478,11.6789,1.074,0.0,13.1982,11.5294,0.0,0.0,13.6196,11.6594,0.879,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPTW,time_window,vrpbltw50_uniform.pkl,128,19.3146,17.8107,0.0,0.0,18.5267,17.1646,0.0,0.0,19.1483,17.6762,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,13.8491,10.9642,0.586,0.0,13.2482,10.7712,0.0,0.0,13.7631,10.9226,0.586,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,20.6194,19.004,2.93,0.0,19.5711,18.1248,0.0,0.0,20.5686,18.9447,2.832,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,16.8437,16.0807,0.586,0.0,16.7537,15.9958,0.0,0.0,16.7945,16.0322,0.293,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_a100_interface_slack0.1/20260904_070636train_interface/epoch-25.pt,interface,0.1,True,a100_interface_slack0.1,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,17.8545,16.7781,1.27,0.0,17.6145,16.6769,0.0,0.0,17.7995,16.7465,0.977,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,CVRP,,vrpbltw50_uniform.pkl,128,37.5834,32.8872,0.586,0.0,34.9147,30.9867,0.0,0.0,34.9147,31.0064,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPB,backhaul,vrpbltw50_uniform.pkl,128,33.0056,33.7982,97.559,83.594,35.5908,30.9657,0.0,0.0,32.9298,33.498,97.461,82.812
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPL,route_limit,vrpbltw50_uniform.pkl,128,37.5834,32.8872,0.586,0.0,34.9659,31.0874,0.0,0.0,34.9659,31.1071,0.098,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPTW,time_window,vrpbltw50_uniform.pkl,128,27.9103,26.8811,52.93,7.812,28.095,25.8156,0.0,0.0,27.9103,26.8811,52.734,7.812
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,33.0056,33.7982,97.559,83.594,35.5963,30.9883,0.0,0.0,32.9298,33.498,97.461,82.812
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,28.6058,28.6058,99.902,99.219,29.9434,27.74,0.0,0.0,28.6058,28.6058,99.902,99.219
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,27.9103,26.8811,52.93,7.812,28.095,25.8156,0.0,0.0,27.9103,26.8811,52.734,7.812
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,28.6058,28.6058,99.902,99.219,29.9434,27.74,0.0,0.0,28.6058,28.6058,99.902,99.219
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,CVRP,,vrpbltw50_uniform.pkl,128,37.5766,32.8688,1.27,0.0,34.7813,30.7458,0.0,0.0,34.785,30.7633,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPB,backhaul,vrpbltw50_uniform.pkl,128,31.9832,34.2519,95.215,70.312,35.5029,30.7869,0.0,0.0,31.9222,34.2359,95.215,70.312
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPL,route_limit,vrpbltw50_uniform.pkl,128,37.5766,32.8688,1.27,0.0,34.9722,30.9535,0.0,0.0,34.9811,30.9658,0.098,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPTW,time_window,vrpbltw50_uniform.pkl,128,29.1005,27.7145,50.391,5.469,29.1889,26.9229,0.0,0.0,29.1005,27.7104,49.902,5.469
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,31.9832,34.2519,95.215,70.312,35.5219,30.8163,0.0,0.0,31.9222,34.2359,95.215,70.312
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,nan,33.1737,99.902,99.219,30.9701,28.8453,0.0,0.0,nan,33.1737,99.902,99.219
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,29.1005,27.7145,50.391,5.469,29.1889,26.9229,0.0,0.0,29.1005,27.7104,49.902,5.469
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_attr/20260904_050232train_attr/epoch-10.pt,attr,0.0,True,car_soft_attr,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,nan,33.1737,99.902,99.219,30.9701,28.8453,0.0,0.0,nan,33.1737,99.902,99.219
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_bend/20260904_162648train_interface/epoch-10.pt,interface,0.0,True,car_soft_interface_bend,CVRP,,vrpbltw50_uniform.pkl,128,32.6204,27.2814,8.301,0.0,32.1062,26.9201,0.0,0.0,32.2642,27.0575,0.195,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_bend/20260904_162648train_interface/epoch-10.pt,interface,0.0,True,car_soft_interface_bend,VRPB,backhaul,vrpbltw50_uniform.pkl,128,29.9586,30.559,84.668,35.156,33.0751,28.2289,0.0,0.0,29.9586,30.559,84.57,35.156
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_bend/20260904_162648train_interface/epoch-10.pt,interface,0.0,True,car_soft_interface_bend,VRPL,route_limit,vrpbltw50_uniform.pkl,128,32.0,27.033,11.621,0.0,31.3799,26.435,0.0,0.0,31.7125,26.8138,0.293,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_bend/20260904_162648train_interface/epoch-10.pt,interface,0.0,True,car_soft_interface_bend,VRPTW,time_window,vrpbltw50_uniform.pkl,128,30.4331,29.4776,38.574,6.25,30.7305,28.603,0.0,0.0,30.6356,29.3912,37.012,6.25
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_bend/20260904_162648train_interface/epoch-10.pt,interface,0.0,True,car_soft_interface_bend,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,30.5073,30.144,85.254,34.375,32.4572,27.8178,0.0,0.0,30.5073,30.0619,85.156,34.375
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_bend/20260904_162648train_interface/epoch-10.pt,interface,0.0,True,car_soft_interface_bend,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,33.4233,30.6371,94.531,71.875,32.2335,29.475,0.0,0.0,33.4233,30.6371,94.531,71.875
/home/shora/Research/PRISM/baselines/CaR-constraint/results/composition/train_car_soft_interface_bend/20260904_162648train_interface/epoch-10.pt,interface,0.0,True,car_soft_interface_bend,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,30.1965,29.3783,38.965,7.031,30.7828,28.5667,0.0,0.0,30.3306,29.3938,37.305,5.469
