checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible,improve_no_aug,improve_aug,improve_sol_infeasible,improve_ins_infeasible
results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,CVRP,,vrpbltw50_uniform.pkl,128,37.8756,32.9388,2.246,0.0,34.9374,31.0024,0.0,0.0,34.956,31.0047,0.0,0.0
results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPB,backhaul,vrpbltw50_uniform.pkl,128,30.3515,33.7982,97.656,83.594,35.612,30.964,0.0,0.0,30.3515,33.7982,97.656,83.594
results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPL,route_limit,vrpbltw50_uniform.pkl,128,37.8756,32.9388,2.246,0.0,34.9694,31.1677,0.0,0.0,34.9749,31.1677,0.0,0.0
results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPTW,time_window,vrpbltw50_uniform.pkl,128,27.097,26.5327,52.051,10.156,27.7478,25.7182,0.0,0.0,27.097,26.5327,51.758,10.156
results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,30.3515,33.7982,97.656,83.594,35.6175,30.9807,0.0,0.0,30.3515,33.7982,97.656,83.594
results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,28.6058,28.3567,99.805,98.438,29.9443,27.7483,0.0,0.0,28.6058,28.3567,99.805,98.438
results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,27.097,26.5327,52.051,10.156,27.7478,25.7182,0.0,0.0,27.097,26.5327,51.758,10.156
results/composition/train_attr/20260903_235933train_attr/epoch-10.pt,attr,0.0,True,attr,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,28.6058,28.3567,99.805,98.438,29.9443,27.7483,0.0,0.0,28.6058,28.3567,99.805,98.438
results/composition/train_interface/20260904_005108train_interface/epoch-10.pt,interface,0.0,True,interface,CVRP,,vrpbltw50_uniform.pkl,128,31.6713,27.7247,22.07,0.0,31.0231,26.8941,0.0,0.0,31.2273,27.2208,0.391,0.0
results/composition/train_interface/20260904_005108train_interface/epoch-10.pt,interface,0.0,True,interface,VRPB,backhaul,vrpbltw50_uniform.pkl,128,31.6239,29.6835,79.883,23.438,32.5131,27.9735,0.0,0.0,31.6239,29.6835,79.883,23.438
results/composition/train_interface/20260904_005108train_interface/epoch-10.pt,interface,0.0,True,interface,VRPL,route_limit,vrpbltw50_uniform.pkl,128,31.1807,27.1397,25.879,0.0,30.3449,26.3399,0.0,0.0,30.729,26.7483,0.195,0.0
results/composition/train_interface/20260904_005108train_interface/epoch-10.pt,interface,0.0,True,interface,VRPTW,time_window,vrpbltw50_uniform.pkl,128,30.0124,28.803,34.473,6.25,30.1921,28.3083,0.0,0.0,30.0596,28.7832,33.887,6.25
results/composition/train_interface/20260904_005108train_interface/epoch-10.pt,interface,0.0,True,interface,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,31.0023,29.7305,83.984,31.25,31.8919,27.5916,0.0,0.0,30.9363,29.7143,83.887,31.25
results/composition/train_interface/20260904_005108train_interface/epoch-10.pt,interface,0.0,True,interface,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,32.5766,31.217,91.895,64.844,31.9635,29.5532,0.0,0.0,32.5766,31.217,91.895,64.844
results/composition/train_interface/20260904_005108train_interface/epoch-10.pt,interface,0.0,True,interface,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,30.201,28.8746,35.84,6.25,30.2025,28.2992,0.0,0.0,30.256,28.8491,34.961,6.25
results/composition/train_interface/20260904_005108train_interface/epoch-10.pt,interface,0.0,True,interface,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,29.2433,31.0383,92.578,65.625,31.9632,29.5221,0.0,0.0,29.2433,31.0383,92.578,65.625
