checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,filled_free_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible
results/pomo1000/train_pomo_soft_attr/20260906_024257train_attr/val_model_best_cons.pt,attr,0.0,True,pomo_soft_attr_best_ep985,CVRP,backhaul+route_limit+time_window,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,nan,nan,100.0,100.0,14.9959,13.5459,0.0,0.0
results/pomo1000/train_pomo_soft_attr/20260906_024257train_attr/val_model_best_cons.pt,attr,0.0,True,pomo_soft_attr_best_ep985,VRPB,backhaul+route_limit+time_window,route_limit+time_window,vrpbltw50_uniform.pkl,1000,17.1627,15.9982,99.751,83.0,13.7209,12.473,0.0,0.0
results/pomo1000/train_pomo_soft_attr/20260906_024257train_attr/val_model_best_cons.pt,attr,0.0,True,pomo_soft_attr_best_ep985,VRPL,backhaul+route_limit+time_window,backhaul+time_window,vrpbltw50_uniform.pkl,1000,nan,nan,100.0,100.0,13.9142,12.7859,0.0,0.0
results/pomo1000/train_pomo_soft_attr/20260906_024257train_attr/val_model_best_cons.pt,attr,0.0,True,pomo_soft_attr_best_ep985,VRPTW,backhaul+route_limit+time_window,backhaul+route_limit,vrpbltw50_uniform.pkl,1000,14.7094,14.3481,21.929,0.1,14.7603,14.3459,0.0,0.0
results/pomo1000/train_pomo_soft_attr/20260906_024257train_attr/val_model_best_cons.pt,attr,0.0,True,pomo_soft_attr_best_ep985,VRPBL,backhaul+route_limit+time_window,time_window,vrpbltw50_uniform.pkl,1000,nan,14.7722,100.0,99.9,12.9472,11.8673,0.0,0.0
results/pomo1000/train_pomo_soft_attr/20260906_024257train_attr/val_model_best_cons.pt,attr,0.0,True,pomo_soft_attr_best_ep985,VRPBTW,backhaul+route_limit+time_window,route_limit,vrpbltw50_uniform.pkl,1000,15.1676,14.7886,30.451,0.3,15.2487,14.7958,0.0,0.0
results/pomo1000/train_pomo_soft_attr/20260906_024257train_attr/val_model_best_cons.pt,attr,0.0,True,pomo_soft_attr_best_ep985,VRPLTW,backhaul+route_limit+time_window,backhaul,vrpbltw50_uniform.pkl,1000,14.7094,14.3481,21.929,0.1,14.7603,14.3459,0.0,0.0
results/pomo1000/train_pomo_soft_interface/20260908_065128train_interface/val_model_best_cons.pt,interface,0.0,True,pomo_soft_interface_best_ep995,CVRP,backhaul+route_limit+time_window,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,15.207,13.5162,0.026,0.0,15.1156,13.4707,0.0,0.0
results/pomo1000/train_pomo_soft_interface/20260908_065128train_interface/val_model_best_cons.pt,interface,0.0,True,pomo_soft_interface_best_ep995,VRPB,backhaul+route_limit+time_window,route_limit+time_window,vrpbltw50_uniform.pkl,1000,14.9849,13.1629,0.098,0.0,14.7949,13.0249,0.0,0.0
results/pomo1000/train_pomo_soft_interface/20260908_065128train_interface/val_model_best_cons.pt,interface,0.0,True,pomo_soft_interface_best_ep995,VRPL,backhaul+route_limit+time_window,backhaul+time_window,vrpbltw50_uniform.pkl,1000,13.2774,12.4834,34.42,0.0,13.0179,12.2975,0.0,0.0
results/pomo1000/train_pomo_soft_interface/20260908_065128train_interface/val_model_best_cons.pt,interface,0.0,True,pomo_soft_interface_best_ep995,VRPTW,backhaul+route_limit+time_window,backhaul+route_limit,vrpbltw50_uniform.pkl,1000,17.7815,16.8757,0.047,0.0,17.3175,16.5194,0.0,0.0
results/pomo1000/train_pomo_soft_interface/20260908_065128train_interface/val_model_best_cons.pt,interface,0.0,True,pomo_soft_interface_best_ep995,VRPBL,backhaul+route_limit+time_window,time_window,vrpbltw50_uniform.pkl,1000,12.2998,11.3994,46.412,0.0,11.9773,11.1898,0.0,0.0
results/pomo1000/train_pomo_soft_interface/20260908_065128train_interface/val_model_best_cons.pt,interface,0.0,True,pomo_soft_interface_best_ep995,VRPBTW,backhaul+route_limit+time_window,route_limit,vrpbltw50_uniform.pkl,1000,18.6679,17.6366,0.313,0.0,17.8887,17.0838,0.0,0.0
results/pomo1000/train_pomo_soft_interface/20260908_065128train_interface/val_model_best_cons.pt,interface,0.0,True,pomo_soft_interface_best_ep995,VRPLTW,backhaul+route_limit+time_window,backhaul,vrpbltw50_uniform.pkl,1000,14.3547,14.0272,8.762,0.0,14.3538,14.0272,0.0,0.0
