checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,filled_free_constraints,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,CVRP,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,nan,nan,100.0,100.0,backhaul+route_limit+time_window,14.9831,13.5421,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPB,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,17.004,16.2682,98.668,53.1,route_limit+time_window,14.1516,12.7182,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPL,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,nan,nan,100.0,100.0,backhaul+time_window,14.1494,12.899,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,14.695,14.3713,28.319,0.0,backhaul+route_limit,14.7685,14.3709,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPBL,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,nan,15.691,99.999,99.8,time_window,13.5703,12.1949,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPBTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,15.2252,14.8133,29.28,0.1,route_limit,15.2418,14.8106,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,14.695,14.3713,28.319,0.0,backhaul,14.7685,14.3709,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,15.2252,14.8133,29.28,0.1,,15.2418,14.8106,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,CVRP,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,15.8565,14.0698,0.014,0.0,backhaul+route_limit+time_window,15.726,14.0174,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPB,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,15.3189,13.5552,0.035,0.0,route_limit+time_window,15.1155,13.4172,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPL,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,13.2636,12.4372,37.556,0.0,backhaul+time_window,13.0022,12.2538,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,17.9308,16.9873,0.065,0.0,backhaul+route_limit,17.5549,16.7339,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPBL,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,12.1178,11.2967,47.776,0.0,time_window,11.7968,11.0845,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPBTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,18.9961,17.8891,0.393,0.0,route_limit,18.2424,17.3753,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,14.3518,14.0266,7.939,0.0,backhaul,14.3547,14.0265,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,14.894,14.5421,9.103,0.0,,14.8979,14.5419,0.0,0.0
