checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,CVRP,,vrpbltw50_uniform.pkl,1000,nan,nan,100.0,100.0,14.9831,13.5421,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPB,backhaul,vrpbltw50_uniform.pkl,1000,17.004,16.2682,98.668,53.1,14.1516,12.7182,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPL,route_limit,vrpbltw50_uniform.pkl,1000,nan,nan,100.0,100.0,14.1494,12.899,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPTW,time_window,vrpbltw50_uniform.pkl,1000,14.695,14.3713,28.319,0.0,14.7685,14.3709,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,1000,nan,15.691,99.999,99.8,13.5703,12.1949,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,1000,15.2252,14.8133,29.28,0.1,15.2418,14.8106,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,1000,14.695,14.3713,28.319,0.0,14.7685,14.3709,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_attr/epoch-1000.pt,attr,0.0,True,pomo_soft_attr,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,15.2252,14.8133,29.28,0.1,15.2418,14.8106,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,CVRP,,vrpbltw50_uniform.pkl,1000,15.5466,14.0535,16.209,0.0,15.255,13.8451,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPB,backhaul,vrpbltw50_uniform.pkl,1000,15.8528,14.3551,19.646,0.0,15.3189,13.9385,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPL,route_limit,vrpbltw50_uniform.pkl,1000,14.3305,14.0656,99.557,46.5,13.4113,12.6195,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPTW,time_window,vrpbltw50_uniform.pkl,1000,18.0601,17.0938,0.053,0.0,17.7442,16.8847,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,1000,12.9669,13.0744,99.733,57.8,12.3432,11.5175,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,1000,19.0449,17.9439,0.838,0.0,18.4024,17.4897,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,1000,14.3518,14.0266,7.939,0.0,14.3547,14.0265,0.0,0.0
/home/ubuntu/CaR-constraint/results/pomo_eval_ep1000/train_pomo_soft_interface/epoch-1000.pt,interface,0.0,True,pomo_soft_interface,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,1000,14.894,14.5421,9.103,0.0,14.8979,14.5419,0.0,0.0
