checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible,improve_no_aug,improve_aug,improve_sol_infeasible,improve_ins_infeasible
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,CVRP+DL,draft_limit,vrpbltw50_uniform.pkl,128,nan,48.4768,99.805,98.438,23.7152,18.5406,0.0,0.0,24.709,19.6109,38.086,0.781
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPB+DL,backhaul+draft_limit,vrpbltw50_uniform.pkl,128,nan,nan,100.0,100.0,23.8579,20.2964,0.0,0.0,nan,21.4839,99.609,96.875
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPL+DL,route_limit+draft_limit,vrpbltw50_uniform.pkl,128,nan,48.4768,99.805,98.438,23.8264,18.6582,0.0,0.0,24.8469,19.7158,40.527,0.781
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPTW+DL,time_window+draft_limit,vrpbltw50_uniform.pkl,128,nan,18.8257,99.805,98.438,20.6731,18.5873,0.0,0.0,18.5839,18.5741,51.562,1.562
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPBL+DL,backhaul+route_limit+draft_limit,vrpbltw50_uniform.pkl,128,nan,nan,100.0,100.0,23.9496,20.4555,0.0,0.0,nan,21.7631,99.609,96.875
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPBTW+DL,backhaul+time_window+draft_limit,vrpbltw50_uniform.pkl,128,nan,18.8598,99.414,95.312,22.5683,20.8197,0.0,0.0,17.6922,19.1464,98.535,89.844
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPLTW+DL,route_limit+time_window+draft_limit,vrpbltw50_uniform.pkl,128,nan,18.8257,99.805,98.438,20.6731,18.5873,0.0,0.0,18.5839,18.5741,51.562,1.562
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_attr/run/epoch-15.pt,attr,0.0,True,attr,VRPBLTW+DL,backhaul+route_limit+time_window+draft_limit,vrpbltw50_uniform.pkl,128,nan,18.8598,99.414,95.312,22.5683,20.8197,0.0,0.0,17.6922,19.1464,98.535,89.844
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,CVRP+DL,draft_limit,vrpbltw50_uniform.pkl,128,17.4246,14.8564,1.074,0.0,16.8193,14.4762,0.0,0.0,17.2771,14.6987,0.098,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPB+DL,backhaul+draft_limit,vrpbltw50_uniform.pkl,128,15.8213,13.5716,0.684,0.0,15.2911,13.2044,0.0,0.0,15.7095,13.485,0.293,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPL+DL,route_limit+draft_limit,vrpbltw50_uniform.pkl,128,16.7804,14.3428,7.129,0.0,15.9641,14.0169,0.0,0.0,16.4587,14.1925,2.441,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPTW+DL,time_window+draft_limit,vrpbltw50_uniform.pkl,128,18.9075,17.7671,2.148,0.0,18.5622,17.3317,0.0,0.0,18.6742,17.4175,0.098,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPBL+DL,backhaul+route_limit+draft_limit,vrpbltw50_uniform.pkl,128,15.5177,13.2564,4.395,0.0,14.5947,12.8916,0.0,0.0,15.0789,13.0213,1.562,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPBTW+DL,backhaul+time_window+draft_limit,vrpbltw50_uniform.pkl,128,19.5494,18.1939,1.562,0.0,19.2719,17.8975,0.0,0.0,19.4217,18.0714,0.977,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPLTW+DL,route_limit+time_window+draft_limit,vrpbltw50_uniform.pkl,128,18.8524,17.6929,12.012,0.0,18.4812,17.2862,0.0,0.0,18.5513,17.3538,1.758,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface/run/epoch-15.pt,interface,0.0,True,interface,VRPBLTW+DL,backhaul+route_limit+time_window+draft_limit,vrpbltw50_uniform.pkl,128,19.2309,17.9669,7.812,0.0,19.1946,17.7185,0.0,0.0,19.1529,17.8405,5.566,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,CVRP+DL,draft_limit,vrpbltw50_uniform.pkl,128,18.4263,15.1455,0.293,0.0,17.4521,14.7204,0.0,0.0,18.2413,15.0731,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,VRPB+DL,backhaul+draft_limit,vrpbltw50_uniform.pkl,128,17.4802,14.5112,0.0,0.0,16.4467,13.9243,0.0,0.0,17.2721,14.3868,0.0,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,VRPL+DL,route_limit+draft_limit,vrpbltw50_uniform.pkl,128,17.3357,14.4633,1.855,0.0,16.3999,14.072,0.0,0.0,17.0984,14.3455,0.293,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,VRPTW+DL,time_window+draft_limit,vrpbltw50_uniform.pkl,128,18.9471,17.7005,9.277,0.0,18.5089,17.3526,0.0,0.0,18.604,17.4237,0.781,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,VRPBL+DL,backhaul+route_limit+draft_limit,vrpbltw50_uniform.pkl,128,16.3714,13.5462,2.539,0.0,15.6629,13.1803,0.0,0.0,16.0521,13.3222,1.465,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,VRPBTW+DL,backhaul+time_window+draft_limit,vrpbltw50_uniform.pkl,128,19.4381,18.0912,3.32,0.0,19.0908,17.8752,0.0,0.0,19.3203,17.9812,1.465,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,VRPLTW+DL,route_limit+time_window+draft_limit,vrpbltw50_uniform.pkl,128,18.9051,17.8165,30.762,0.0,18.579,17.3488,0.0,0.0,18.5994,17.3954,3.809,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep15/train_interface_slack0.1/run/epoch-15.pt,interface,0.1,True,interface_slack0.1,VRPBLTW+DL,backhaul+route_limit+time_window+draft_limit,vrpbltw50_uniform.pkl,128,19.2285,17.9531,15.82,0.0,19.0888,17.7883,0.0,0.0,19.1189,17.8644,9.668,0.0
