checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible,improve_no_aug,improve_aug,improve_sol_infeasible,improve_ins_infeasible
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,CVRP,,vrpbltw50_uniform.pkl,128,27.5032,28.5059,88.477,41.406,27.1774,23.2553,0.0,0.0,28.262,25.3342,21.387,0.781
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,VRPB,backhaul,vrpbltw50_uniform.pkl,128,19.8035,19.9746,94.043,65.625,23.3088,19.0296,0.0,0.0,19.8035,19.9746,94.043,65.625
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,VRPL,route_limit,vrpbltw50_uniform.pkl,128,27.5032,28.5059,88.477,41.406,27.1701,23.3366,0.0,0.0,28.2229,25.3331,21.68,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,VRPTW,time_window,vrpbltw50_uniform.pkl,128,21.5384,20.8842,37.988,0.0,22.0927,20.5473,0.0,0.0,21.498,20.8555,37.695,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,19.8035,19.9746,94.043,65.625,23.4077,19.1506,0.0,0.0,19.8035,19.9746,94.043,65.625
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,22.2689,22.4062,76.367,16.406,23.9815,22.0961,0.0,0.0,22.2689,22.4062,76.367,16.406
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,21.5384,20.8842,37.988,0.0,22.0927,20.5473,0.0,0.0,21.498,20.8555,37.695,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,22.2689,22.4062,76.367,16.406,23.9815,22.0961,0.0,0.0,22.2689,22.4062,76.367,16.406
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,CVRP,,vrpbltw50_uniform.pkl,128,37.2846,33.0629,42.871,1.562,35.877,29.6972,0.0,0.0,36.6277,31.0489,2.051,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,VRPB,backhaul,vrpbltw50_uniform.pkl,128,35.7325,30.2615,48.535,0.0,35.5083,27.4237,0.0,0.0,35.7325,30.2615,48.535,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,VRPL,route_limit,vrpbltw50_uniform.pkl,128,35.5113,31.1115,48.145,1.562,34.1626,27.7749,0.0,0.0,34.9015,29.2783,2.734,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,VRPTW,time_window,vrpbltw50_uniform.pkl,128,21.3738,20.1856,7.715,0.0,20.3195,19.2023,0.0,0.0,21.3429,20.1159,7.227,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,VRPBL,backhaul+route_limit,vrpbltw50_uniform.pkl,128,34.1026,30.3755,68.359,5.469,33.9023,26.3942,0.0,0.0,34.1026,30.3755,68.359,5.469
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,VRPBTW,backhaul+time_window,vrpbltw50_uniform.pkl,128,22.382,21.0143,15.918,0.781,21.6243,20.0988,0.0,0.0,22.3757,20.994,15.918,0.781
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,20.6666,19.7366,13.281,0.0,20.2205,19.0565,0.0,0.0,20.6589,19.6997,12.891,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,VRPBLTW,backhaul+route_limit+time_window,vrpbltw50_uniform.pkl,128,21.8658,20.5819,25.586,0.781,21.5365,19.9739,0.0,0.0,21.8617,20.5753,25.586,0.781
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m2interface/run/epoch-5.pt,interface,0.0,True,m2interface,CVRP,,vrpbltw50_uniform.pkl,128,38.2759,33.4998,23.535,0.0,37.2735,31.7445,0.0,0.0,37.8121,32.4371,1.855,0.0
/home/shora/Research/PRISM/baselines/CaR-constraint/results/matched_ep5/train_m2interface/run/epoch-5.pt,interface,0.0,True,m2interface,VRPB,backhaul,vrpbltw50_uniform.pkl,128,39.4895,34.1935,8.398,0.0,33.3624,26.6903,0.0,0.0,39.4895,34.1935,8.398,0.0
