checkpoint,constraint_repr,slack_weight,couple_rows,arm,variant,active_constraints,dataset,episodes,construct_no_aug,construct_aug,construct_sol_infeasible,construct_ins_infeasible,masked_no_aug,masked_aug,masked_sol_infeasible,masked_ins_infeasible,improve_no_aug,improve_aug,improve_sol_infeasible,improve_ins_infeasible
results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,CVRP,,vrpbltw50_uniform.pkl,128,27.7392,25.5668,68.066,8.594,26.8,22.7573,0.0,0.0,28.1044,24.0297,17.578,0.0
results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,VRPL,route_limit,vrpbltw50_uniform.pkl,128,27.7392,25.5668,68.066,8.594,26.7462,22.7538,0.0,0.0,28.0608,24.0619,17.383,0.0
results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,VRPTW,time_window,vrpbltw50_uniform.pkl,128,21.6983,20.9821,44.629,0.781,22.3407,20.7252,0.0,0.0,21.6976,20.9795,44.434,0.781
results/matched_ep5/train_m1attr/run/epoch-5.pt,attr,0.0,True,m1attr,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,21.6983,20.9821,44.629,0.781,22.3407,20.7252,0.0,0.0,21.6976,20.9795,44.434,0.781
results/matched_ep5/train_m2interface/run/epoch-5.pt,interface,0.0,True,m2interface,CVRP,,vrpbltw50_uniform.pkl,128,38.1223,32.6329,6.348,0.0,37.453,31.5825,0.0,0.0,37.5886,32.1704,0.586,0.0
results/matched_ep5/train_m2interface/run/epoch-5.pt,interface,0.0,True,m2interface,VRPL,route_limit,vrpbltw50_uniform.pkl,128,36.88,31.1293,12.695,0.0,36.3828,30.0677,0.0,0.0,36.9034,30.7597,1.074,0.0
results/matched_ep5/train_m2interface/run/epoch-5.pt,interface,0.0,True,m2interface,VRPTW,time_window,vrpbltw50_uniform.pkl,128,21.6617,20.846,12.305,0.0,21.2539,19.9775,0.0,0.0,21.6376,20.8033,11.23,0.0
results/matched_ep5/train_m2interface/run/epoch-5.pt,interface,0.0,True,m2interface,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,21.3767,20.5427,17.383,0.0,21.1681,19.8291,0.0,0.0,21.3328,20.4992,16.406,0.0
results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,CVRP,,vrpbltw50_uniform.pkl,128,37.2583,30.7165,15.137,0.0,36.3969,29.5532,0.0,0.0,36.7286,30.2351,0.293,0.0
results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,VRPL,route_limit,vrpbltw50_uniform.pkl,128,34.7386,28.8708,21.191,0.0,34.452,27.5508,0.0,0.0,34.8428,28.1712,1.074,0.0
results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,VRPTW,time_window,vrpbltw50_uniform.pkl,128,21.5774,20.1779,6.25,0.0,20.6135,19.2717,0.0,0.0,21.5774,20.1649,6.152,0.0
results/matched_ep5/train_m1interface_slack0.1/run/epoch-5.pt,interface,0.1,True,m1interface_slack0.1,VRPLTW,route_limit+time_window,vrpbltw50_uniform.pkl,128,20.8592,19.7672,11.23,0.0,20.5122,19.1696,0.0,0.0,20.8536,19.7631,11.23,0.0
